CODE;FR
50116400-5;Services de réparation et d'entretien de transmissions de véhicules
50116500-6;Services de réparation de pneus, y compris montage et équilibrage
50116510-9;Services de rechapage de pneus
50116600-7;Services de réparation et d'entretien de moteurs de démarrage
50117000-8;Services de conversion et de remise en état de véhicules
50117100-9;Services de conversion de véhicules à moteur
50117200-0;Services de conversion d'ambulances
50117300-1;Services de remise en état de véhicules
50118000-5;Services de secours routier
50118100-6;Services de dépannage de voitures
50118110-9;Services de remorquage de véhicules
50118200-7;Services de dépannage de véhicules commerciaux
50118300-8;Services de dépannage d'autobus
50118400-9;Services de dépannage de véhicules à moteur
50118500-0;Services de dépannage de motos
50190000-3;Démolition de véhicules
50200000-7;Services de réparation, d'entretien et services connexes relatifs au matériel de transport aérien, ferroviaire, routier et maritime
50210000-0;Services de réparation, d'entretien et services connexes relatifs aux aéronefs et à d'autres équipements
50211000-7;Services de réparation et d'entretien d'aéronefs
50211100-8;Services d'entretien d'aéronefs
50211200-9;Services de réparation d'aéronefs
50211210-2;Services de réparation et d'entretien de moteurs d'aéronefs
50211211-9;Services d'entretien de moteurs d'aéronefs
50211212-6;Services de réparation de moteurs d'aéronefs
50211300-0;Services de remise en état d'aéronefs
50211310-3;Services de remise en état de moteurs d'aéronefs
50212000-4;Services de réparation et d'entretien d'hélicoptères
50220000-3;Services de réparation, d'entretien et services connexes liés au transport ferroviaire et à d'autres équipements
50221000-0;Services de réparation et d'entretien de locomotives
50221100-1;Services de réparation et d'entretien de boîtes de transmission de locomotives
50221200-2;Services de réparation et d'entretien de transmissions de locomotives
50221300-3;Services de réparation et d'entretien d'essieux montés de locomotives
50221400-4;Services de réparation et d'entretien de freins et de pièces de freins de locomotives
50222000-7;Services de réparation et d'entretien de matériel roulant
50222100-8;Services de réparation et d'entretien d'amortisseurs
50223000-4;Services de remise en état de locomotives
50224000-1;Services de remise en état de matériel roulant
50224100-2;Services de remise en état de sièges pour matériel roulant
50224200-3;Services de remise en état de voitures à voyageurs
50225000-8;Services d'entretien de voies ferrées
50229000-6;Démolition de matériel roulant
50230000-6;Services de réparation, d'entretien et services connexes relatifs au transport routier et à d'autres équipements
50232000-0;Entretien d'installations d'éclairage public et de feux de signalisation
50232100-1;Services d'entretien de l'éclairage public
50232110-4;Mise en état d'exploitation d'installations d'éclairage public
50232200-2;Services d'entretien des installations de signalisation
50240000-9;Services de réparation, d'entretien et services connexes relatifs au transport maritime et à d'autres équipements
50241000-6;Services de réparation et d'entretien de bateaux
50241100-7;Services de réparation de navires
50241200-8;Services de réparation de ferrys
50242000-3;Services de conversion de bateaux
50243000-0;Démolition de bateaux
50244000-7;Services de remise en état de navires ou de bateaux
50245000-4;Services de modernisation de bateaux
50246000-1;Entretien d'équipement portuaire
50246100-2;Services de mise en cale sèche
50246200-3;Services d'entretien de bouées
50246300-4;Services de réparation et d'entretien de structures flottantes
50246400-5;Services de réparation et d'entretien de Plates-formes flottantes
50300000-8;Services de réparation, d'entretien et services connexes relatifs aux ordinateurs personnels, au matériel de bureau, au matériel de télécommunications et au matériel audiovisuel
50310000-1;Maintenance et réparation de machines de bureau
50311000-8;Maintenance et réparation de machines comptables de bureau
50311400-2;Maintenance et réparation de machines à calculer et de machines comptables
50312000-5;Maintenance et réparation de matériel informatique
50312100-6;Maintenance et réparation d'unités centrales
50312110-9;Maintenance d'unités centrales
50312120-2;Réparation d'unités centrales
50312200-7;Maintenance et réparation de mini-ordinateurs
50312210-0;Maintenance de mini-ordinateurs
50312220-3;Réparation de mini-ordinateurs
50312300-8;Maintenance et réparation de matériel de réseau informatique
50312310-1;Maintenance de matériel de réseau informatique
50312320-4;Réparation de matériel de réseau informatique
50312400-9;Maintenance et réparation de micro-ordinateurs
50312410-2;Maintenance de micro-ordinateurs
50312420-5;Réparation de micro-ordinateurs
50312600-1;Maintenance et réparation de matériel de technologies de l'information
50312610-4;Maintenance de matériel de technologies de l'information
50312620-7;Réparation de matériel de technologies de l'information
50313000-2;Maintenance et réparation de matériel de reprographie
50313100-3;Services de réparation de photocopieurs
50313200-4;Services d'entretien de photocopieurs
50314000-9;Services de réparation et d'entretien de télécopieurs
50315000-6;Services de réparation et d'entretien de répondeurs téléphoniques
50316000-3;Maintenance et réparation de distributeurs automatiques de tickets
50317000-0;Maintenance et réparation de composteurs de billets
50320000-4;Services de réparation et d'entretien d'ordinateurs personnels
50321000-1;Services de réparation d'ordinateurs personnels
50322000-8;Services d'entretien d'ordinateurs personnels
50323000-5;Maintenance et réparation de périphériques d'ordinateur
50323100-6;Maintenance de périphériques d'ordinateur
50323200-7;Réparation de périphériques d'ordinateur
50324000-2;Services d'assistance pour ordinateurs personnels
50324100-3;Services de maintenance de systèmes
50324200-4;Services de maintenance préventive
50330000-7;Services d'entretien de matériel de télécommunications
50331000-4;Services de réparation et d'entretien de lignes de télécommunications
50332000-1;Services d'entretien d'infrastructures de télécommunications
50333000-8;Services d'entretien de matériel de radiocommunications
50333100-9;Services de réparation et d'entretien d'émetteurs radio
50333200-0;Réparation et entretien d'appareils de radiotéléphonie
50334000-5;Services de réparation et d'entretien de matériel de téléphonie et de télégraphie par fil
50334100-6;Services de réparation et d'entretien de matériel de téléphonie par fil
50334110-9;Entretien de réseau téléphonique
50334120-2;Modernisation de standards téléphoniques
50334130-5;Services de réparation et d'entretien de standards téléphoniques
50334140-8;Services de réparation et d'entretien d'appareils téléphoniques
50334200-7;Services de réparation et d'entretien de matériel de télégraphie par fil
50334300-8;Services de réparation et d'entretien de matériel de télex par fil
50334400-9;Entretien de systèmes de communications
50340000-0;Services de réparation et d'entretien de matériel audiovisuel et d'optique
50341000-7;Services de réparation et d'entretien de matériel de télévision
50341100-8;Services de réparation et d'entretien de matériel vidéotexte
50341200-9;Services de réparation et d'entretien d'émetteurs de télévision
50342000-4;Services de réparation et d'entretien de matériel audio
50343000-1;Services de réparation et d'entretien de matériel vidéo
50344000-8;Services de réparation et d'entretien de matériel d'optique
50344100-9;Services de réparation et d'entretien de matériel photographique
50344200-0;Services de réparation et d'entretien de matériel cinématographique
50400000-9;Services de réparation et d'entretien de matériel médical et de matériel de précision
50410000-2;Services de réparation et d'entretien d'appareils de mesure, d'essai et de contrôle
50411000-9;Services de réparation et d'entretien d'appareils de mesure
50411100-0;Services de réparation et d'entretien de compteurs à eau
50411200-1;Services de réparation et d'entretien de compteurs à gaz
50411300-2;Services de réparation et d'entretien de compteurs d'électricité
50411400-3;Services de réparation et d'entretien de tachymètres
50411500-4;Services de réparation et d'entretien d'instruments de mesure du temps industriels
50412000-6;Services de réparation et d'entretien d'appareils d'essai
50413000-3;Services de réparation et d'entretien d'appareils de contrôle
50413100-4;Services de réparation et d'entretien de matériel de détection de gaz
50413200-5;Services de réparation et d'entretien d'installations d'extinction d'incendie
50420000-5;Services de réparation et d'entretien de matériel médical et chirurgical
50421000-2;Services de réparation et d'entretien de matériel médical
50421100-3;Services de réparation et d'entretien de chaises roulantes
50421200-4;Services de réparation et d'entretien de matériel de radiologie
50422000-9;Services de réparation et d'entretien de matériel chirurgical
50430000-8;Services de réparation et d'entretien de matériel de précision
50431000-5;Services de réparation et d'entretien de montres
50432000-2;Services de réparation et d'entretien d'horloges
50433000-9;Services d'étalonnage
50500000-0;Services de réparation et d'entretien de pompes, de vannes, de robinets, de conteneurs en métal et de machines
50510000-3;Services de réparation et d'entretien de pompes, de vannes, de robinets et de conteneurs en métal
50511000-0;Services de réparation et d'entretien de pompes
50511100-1;Services de réparation et d'entretien de pompes à liquide
50511200-2;Services de réparation et d'entretien de pompes à gaz
50512000-7;Services de réparation et d'entretien de vannes
50513000-4;Services de réparation et d'entretien de robinets
50514000-1;Services de réparation et d'entretien de conteneurs en métal
50514100-2;Services de réparation et d'entretien de citernes
50514200-3;Services de réparation et d'entretien de réservoirs
50514300-4;Services de réparation de gainage
50530000-9;Services de réparation et d'entretien de machines
50531000-6;Services de réparation et d'entretien de machines non électriques
50531100-7;Services de réparation et d'entretien de chaudières
50531200-8;Services d'entretien d'appareils à gaz
50531300-9;Services de réparation et d'entretien de compresseurs
50531400-0;Services de réparation et d'entretien de grues
50531500-1;Services de réparation et d'entretien de grues derricks
50531510-4;Services de démontage de derricks
50532000-3;Services de réparation et d'entretien de machines et d'appareils électriques et de matériel connexe
50532100-4;Services de réparation et d'entretien de moteurs électriques
50532200-5;Services de réparation et d'entretien de transformateurs
50532300-6;Services de réparation et d'entretien de générateurs
50532400-7;Services de réparation et d'entretien de matériel de distribution électrique
50600000-1;Services de réparation et d'entretien des matériels de défense et de sécurité
50610000-4;Services de réparation et d'entretien du matériel de sécurité
50620000-7;Services de réparation et d'entretien des armes à feu et des munitions
50630000-0;Services de réparation et d'entretien des véhicules militaires
50640000-3;Services de réparation et d'entretien des navires de guerre
50650000-6;Services de réparation et d'entretien des aéronefs, des missiles et des spationefs militaires
50660000-9;Services de réparation et d'entretien des systèmes électroniques militaires
50700000-2;Services de réparation et d'entretien d'installations de bâtiments
50710000-5;Services de réparation et d'entretien d'installations électriques et mécaniques de bâtiment
50711000-2;Services de réparation et d'entretien d'installations électriques de bâtiment
50712000-9;Services de réparation et d'entretien d'installations mécaniques de bâtiment
50720000-8;Services de réparation et d'entretien de chauffage central
50721000-5;Mise en état d'exploitation d'installations de chauffage
50730000-1;Services de réparation et d'entretien de groupes de réfrigération
50740000-4;Services de réparation et d'entretien d'escaliers mécaniques
50750000-7;Services d'entretien d'ascenseurs
50760000-0;Réparation et entretien de toilettes publiques
50800000-3;Services divers d'entretien et de réparation
50810000-6;Services de réparation de bijoux
50820000-9;Services de réparation d'articles en cuir
50821000-6;Services de réparation de bottes
50822000-3;Services de réparation de chaussures
50830000-2;Services de réparation de vêtements et d'articles textiles
50840000-5;Services de réparation et d'entretien d'armes et de systèmes d'arme
50841000-2;Services de réparation et d'entretien d'armes
50842000-9;Services de réparation et d'entretien de systèmes d'arme
50850000-8;Services de réparation et d'entretien de meubles
50860000-1;Services de réparation et d'entretien d'instruments de musique
50870000-4;Services de réparation et d'entretien d'équipements de terrains de jeux
50880000-7;Services de réparation et d'entretien de matériel d'hôtellerie et de restauration
50881000-4;Services de réparation et d'entretien de matériel d'hôtellerie
50882000-1;Services de réparation et d'entretien de matériel pour restaurants
50883000-8;Services de réparation et d'entretien de matériel de restauration
50884000-5;Services de réparation et d'entretien de matériel de camping
51000000-9;Services d'installation (à l'exception des logiciels)
51100000-3;Services d'installation de matériel électrique et mécanique
51110000-6;Services d'installation de matériel électrique
51111000-3;Services d'installation de moteurs électriques, de générateurs et de transformateurs
51111100-4;Services d'installation de moteurs électriques
51111200-5;Services d'installation de générateurs
51111300-6;Services d'installation de transformateurs
51112000-0;Services d'installation de matériel de distribution et de commande électriques
51112100-1;Services d'installation de matériel de distribution électrique
51112200-2;Services d'installation de matériel de commande électrique
51120000-9;Services d'installation de matériel mécanique
51121000-6;Services d'installation de matériel de culture physique (fitness)
51122000-3;Services d'installation de mâts porte-drapeau
51130000-2;Services d'installation de générateurs à vapeur, de turbines, de compresseurs et de brûleurs
51131000-9;Services d'installation de générateurs à vapeur
51133000-3;Services d'installation de turbines
51133100-4;Services d'installation de turbines à gaz
51134000-0;Services d'installation de compresseurs
51135000-7;Services d'installation de fourneaux
51135100-8;Services d'installation de brûleurs
51135110-1;Services d'installation d'incinérateurs de déchets
51140000-5;Services d'installation de moteurs
51141000-2;Services d'installation de moteurs à essence
51142000-9;Services d'installation de moteurs diesel
51143000-6;Services d'installation de moteurs de matériel ferroviaire
51144000-3;Services d'installation de moteurs de véhicules
51145000-0;Services d'installation de moteurs de navires
51146000-7;Services d'installation de moteurs d'aéronefs
51200000-4;Services d'installation de matériel de mesure, de contrôle, d'essai et de navigation
51210000-7;Services d'installation de matériel de mesure
51211000-4;Services d'installation de matériel de mesure du temps
51212000-1;Services d'installation de matériel d'enregistrement des présences
51213000-8;Services d'installation d'horloges de pointage
51214000-5;Services d'installation de parcmètres
51215000-2;Services d'installation de matériel météorologique
51216000-9;Services d'installation de matériel géologique
51220000-0;Services d'installation de matériel de contrôle
51221000-7;Services d'installation d'appareils d'enregistrement automatiques pour aéroports
51230000-3;Services d'installation de matériel d'essai
51240000-6;Services d'installation de matériel de navigation
51300000-5;Services d'installation de matériel de communications
51310000-8;Services d'installation de matériel radio, de télévision, audio et vidéo
51311000-5;Services d'installation de matériel radio
51312000-2;Services d'installation de matériel de télévision
51313000-9;Services d'installation de matériel audio
51314000-6;Services d'installation de matériel vidéo
51320000-1;Services d'installation d'émetteurs radio et de télévision
51321000-8;Services d'installation d'émetteurs radio
51322000-5;Services d'installation d'émetteurs de télévision
51330000-4;Services d'installation d'appareils de radiotéléphonie
51340000-7;Services d'installation de matériel de téléphonie par fil
51350000-0;Services d'installation de matériel de télégraphie par fil
51400000-6;Services d'installation de matériel médical et chirurgical
51410000-9;Services d'installation de matériel médical
51411000-6;Services d'installation de matériel d'imagerie
51412000-3;Services d'installation de matériel de dentisterie et de ses sous-spécialités
51413000-0;Services d'installation de matériel de radiothérapie
51414000-7;Services d'installation de matériel de mécanothérapie
51415000-4;Services d'installation de matériel d'électrothérapie
51416000-1;Services d'installation de matériel de physiothérapie
51420000-2;Services d'installation de matériel chirurgical
51430000-5;Services d'installation de matériel de laboratoire
51500000-7;Services d'installation de machines et d'équipements
51510000-0;Services d'installation de machines et d'équipements à usage général
51511000-7;Services d'installation de matériel de levage et de manutention, excepté ascenseurs et escaliers mécaniques
51511100-8;Services d'installation de matériel de levage
51511110-1;Services d'installation de grues
51511200-9;Services d'installation de matériel de manutention
51511300-0;Services d'installation de nacelles de nettoyage des façades
51511400-1;Services d'installation de matériel de manutention spécial
51514000-8;Services d'installation de machines diverses à usage général
51514100-9;Services d'installation de machines et d'appareils de filtration ou de purification de liquides
51514110-2;Services d'installation de machines et d'appareils de filtration ou de purification de l'eau
51520000-3;Services d'installation de machines agricoles et sylvicoles
51521000-0;Services d'installation de machines agricoles
51522000-7;Services d'installation de machines sylvicoles
51530000-6;Services d'installation de machines-outils
51540000-9;Services d'installation de machines et d'équipements à usage spécifique
51541000-6;Services d'installation de machines utilisées dans les mines, les carrières, la construction et la métallurgie
51541100-7;Services d'installation de machines utilisées dans les mines
51541200-8;Services d'installation de machines utilisées dans les carrières
51541300-9;Services d'installation de machines utilisées dans la construction
51541400-0;Services d'installation de machines utilisées dans la métallurgie
51542000-3;Services d'installation de machines de traitement des aliments, des boissons et du tabac
51542100-4;Services d'installation de machines de traitement des aliments
51542200-5;Services d'installation de machines de traitement des boissons
51542300-6;Services d'installation de machines de traitement du tabac
51543000-0;Services d'installation de machines pour la fabrication de textile, de vêtements et de cuir
51543100-1;Services d'installation de machines pour la fabrication textile
51543200-2;Services d'installation de machines pour la fabrication de vêtements
51543300-3;Services d'installation de machines pour la fabrication du cuir
51543400-4;Services d'installation de machines à laver, de machines de nettoyage à sec et de sèche-linge de blanchisserie
51544000-7;Services d'installation de machines pour la fabrication du papier et du carton
51544100-8;Services d'installation de machines pour la fabrication du papier
51544200-9;Services d'installation de machines pour la fabrication du carton
51545000-4;Services d'installation de boîtes à lettres publiques
51550000-2;Services d'installation de systèmes d'arme
51600000-8;Services d'installation d'ordinateurs et de matériel de bureau
51610000-1;Services d'installation d'ordinateurs et de matériel de traitement de l'information
51611000-8;Services d'installation d'ordinateurs
51611100-9;Services d'installation de matériel informatique
51611110-2;Services d'installation d'écrans et de tableaux d'affichage des départs et des arrivées d'avions
51611120-5;Services d'installation d'écrans et de tableaux d'affichage des départs et des arrivées de trains
51612000-5;Services d'installation de matériel de traitement de l'information
51620000-4;Services d'installation de matériel de bureau
51700000-9;Services d'installation de matériel de protection contre l'incendie
51800000-0;Services d'installation de conteneurs en métal
51810000-3;Services d'installation de citernes
51820000-6;Services d'installation de réservoirs
51900000-1;Services d'installation de systèmes de guidage et de commande
55000000-0;Services d'hôtellerie, de restauration et de commerce au détail
55100000-1;Services d'hôtellerie
55110000-4;Services d'hébergement hôtelier
55120000-7;Services de réunions et de conférences organisés dans des hôtels
55130000-0;Autres services d'hôtellerie
55200000-2;Campings et autre hébergement non hôtelier
55210000-5;Services d'hébergement en auberge de jeunesse
55220000-8;Services de terrain de camping
55221000-5;Services d'aire de caravanage
55240000-4;Services de centres aérés et de centres de vacances
55241000-1;Services de centres aérés
55242000-8;Services de centres de vacances
55243000-5;Services de colonies de vacances
55250000-7;Services de location de meublés pour des séjours de courte durée
55260000-0;Services des wagons-lits
55270000-3;Services prestés par les établissements proposant des chambres avec petit-déjeuner
55300000-3;Services de restaurant et services de personnel en salle
55310000-6;Services de serveurs de restaurant
55311000-3;Services de serveurs de restaurant pour clientèle restreinte
55312000-0;Services de serveurs de restaurant sans restriction d'accès
55320000-9;Services de distribution de repas
55321000-6;Services de préparation de repas
55322000-3;Services d'élaboration (cuisson) de repas
55330000-2;Services de cafétéria
55400000-4;Services de débits de boissons
55410000-7;Services de gestion de bars
55500000-5;Services de cantine et service traiteur
55510000-8;Services de cantine
55511000-5;Services de cantine et autres services de cafétéria pour clientèle restreinte
55512000-2;Services de gestion de cantine
55520000-1;Services traiteur
55521000-8;Service traiteur pour ménages
55521100-9;Services de repas livrés à domicile
55521200-0;Services de livraison de repas
55522000-5;Service traiteur pour entreprises de transport
55523000-2;Services traiteur pour autres entreprises ou autres institutions
55523100-3;Services de restauration scolaire
55524000-9;Service traiteur pour écoles
55900000-9;Services de vente au détail
60000000-8;Services de transport (à l'exclusion du transport des déchets)
60100000-9;Services de transport routier
60112000-6;Services de transport routier public
60120000-5;Services de taxi
60130000-8;Services spécialisés de transport routier de passagers
60140000-1;Transport non régulier de passagers
60150000-4;Transport de passagers par véhicules à traction animale
60160000-7;Transport routier postal
60161000-4;Services de transport de colis
60170000-0;Location de véhicules de transport de personnes avec chauffeur
60171000-7;Location de voitures particulières avec chauffeur
60172000-4;Location d'autobus et d'autocars avec chauffeur
60180000-3;Location de véhicules de transport de marchandises avec chauffeur
60181000-0;Location de camions avec chauffeur
60182000-7;Location de véhicules industriels avec chauffeur
60183000-4;Location de camionnettes avec chauffeur
60200000-0;Services de transport ferroviaire
60210000-3;Services de transport ferroviaire public
60220000-6;Transport ferroviaire postal
60300000-1;Services de transport par pipeline
60400000-2;Services de transport aérien
60410000-5;Services de transport aérien régulier
60411000-2;Services de transport aérien régulier du courrier
60420000-8;Services de transport aérien non régulier
60421000-5;Services de transport aérien non régulier du courrier
60423000-9;Services de charter
60424000-6;Location de matériel de transport aérien avec équipage
60424100-7;Location d'aéronefs avec équipage
60424110-0;Location d'aéronefs à voilure fixe avec équipage
60424120-3;Location d'hélicoptères avec équipage
60440000-4;Services aériens et services connexes
60441000-1;Services de pulvérisation par voie aérienne
60442000-8;Services de lutte aérienne contre les incendies de forêt
60443000-5;Services de secours aérien
60443100-6;Services aéronavals de sauvetage
60444000-2;Services d'exploitation d'aéronefs
60444100-3;Services de pilotage
60445000-9;Services d'exploitation d'avions
60500000-3;Services de transport spatial
60510000-6;Services de lancement de satellites
60520000-9;Services de charges utiles expérimentales
60600000-4;Services de transport par voie d'eau
60610000-7;Services de transport par ferry
60620000-0;Transport de courrier par voie d'eau
60630000-3;Services de navires câbliers
60640000-6;Opérations de transport maritime
60650000-9;Location de matériel de transport par voie d'eau avec équipage
60651000-6;Location de vaisseaux avec équipage
60651100-7;Location de navires de mer avec équipage
60651200-8;Location de bateaux de navigation intérieure avec équipage
60651300-9;Services de navires antipollution
60651400-0;Services de navires transporteurs de charges lourdes
60651500-1;Services de navires de secours
60651600-2;Services de navires de ravitaillement offshore
60653000-0;Location de bateaux avec équipage
63000000-9;Services d'appui et services auxiliaires dans le domaine des transports, services des agences de voyages
63100000-0;Services de manutention et d'entreposage de cargaisons
63110000-3;Services de manutention de cargaisons
63111000-0;Services de manutention de conteneurs
63112000-7;Services de manutention de bagages
63112100-8;Services de manutention des bagages des passagers
63112110-1;Services de rassemblement des bagages
63120000-6;Services de stockage et d'entreposage
63121000-3;Services de stockage et de récupération
63121100-4;Services de stockage
63121110-7;Services de stockage de gaz
63122000-0;Services d'entreposage
63500000-4;Services d'agences de voyages, de voyagistes et d'assistance aux touristes
63510000-7;Services d'agences de voyages et services similaires
63511000-4;Organisation de voyages à forfait
63512000-1;Vente de billets de voyages à forfait
63513000-8;Services d'information touristique
63514000-5;Services de guides touristiques
63515000-2;Services de voyages
63516000-9;Services de gestion de voyages
63520000-0;Services d'agences de transport
63521000-7;Services d'agences de transport de marchandises
63522000-4;Services de courtage maritime
63523000-1;Services d'agences portuaires et d'agences d'expédition
63524000-8;Services de préparation de documents de transport
63700000-6;Services d'appui dans le domaine des transports terrestres, maritimes et aériens
63710000-9;Services d'appui dans le domaine des transports terrestres
63711000-6;Services d'appui dans le domaine des transports ferroviaires
63711100-7;Services de surveillance de la marche des trains
63711200-8;Services d'ateliers mobiles
63712000-3;Services d'appui dans le domaine des transports routiers
63712100-4;Services de gares routières
63712200-5;Services d'exploitation des autoroutes
63712210-8;Services de péage autoroutier
63712300-6;Services d'exploitation de ponts et de tunnels
63712310-9;Services d'exploitation de ponts
63712311-6;Services de péage de pont
63712320-2;Services d'exploitation de tunnels
63712321-9;Services de péage de tunnel
63712400-7;Services de parc de stationnement
63712500-8;Services de pont-bascule
63712600-9;Services de ravitaillement de véhicules
63712700-0;Services de la circulation routière
63712710-3;Services de surveillance de la circulation routière
63720000-2;Services d'appui dans le domaine des transports par voie d'eau
63721000-9;Services d'exploitation de ports et de voies navigables et services connexes
63721100-0;Services de mise en soute
63721200-1;Services d'exploitation portuaire
63721300-2;Services d'exploitation des voies navigables
63721400-3;Services de ravitaillement de navires
63721500-4;Services d'exploitation de terminaux passagers
63722000-6;Services de pilotage de navires
63723000-3;Services d'accostage
63724000-0;Services de navigation
63724100-1;Services de positionnement en mer
63724110-4;Services de positionnement de bateaux-phares
63724200-2;Services de bateaux-phares
63724300-3;Services de positionnement de bouées
63724310-6;Services de balisage
63724400-4;Services de phares
63725000-7;Services de sauvetage et de renflouage
63725100-8;Services de sauvetage de navires
63725200-9;Services des bateaux de sauvegarde
63725300-0;Services de renflouage de navires
63726000-4;Services d'assistance divers dans le domaine des transports par voie d'eau
63726100-5;Services d'enregistrement des navires
63726200-6;Services de navires brise-glaces
63726300-7;Services de stockage en navire
63726400-8;Services d'affrètement de navires
63726500-9;Services de désarmement de navires
63726600-0;Services d'exploitation de navires
63726610-3;Services de mise à l'eau de navires
63726620-6;Services d'engins inhabités télécommandés
63726700-1;Services des navires de pêche
63726800-2;Services des navires de recherche
63726900-3;Services de bateau manipulateur d'ancre
63727000-1;Services de remorquage et de poussage de bateaux
63727100-2;Services de remorquage
63727200-3;Services de poussage
63730000-5;Services d'appui dans le domaine des transports aériens
63731000-2;Services d'exploitation d'aéroport
63731100-3;Services de coordination des créneaux aéroportuaires
63732000-9;Services de contrôle du trafic aérien
63733000-6;Services d'avitaillement
63734000-3;Services de hangar
64000000-6;Services des postes et télécommunications
64100000-7;Services postaux et services de courrier
64110000-0;Services postaux
64111000-7;Services postaux relatifs aux journaux et aux périodiques
64112000-4;Services postaux relatifs aux lettres
64113000-1;Services postaux relatifs aux colis
64114000-8;Services de guichets de bureaux de poste
64115000-5;Location de boîtes aux lettres
64116000-2;Services de poste restante
64120000-3;Services de courrier
64121000-0;Services multimodaux de courrier
64121100-1;Services de distribution de courrier
64121200-2;Services de livraison de colis
64122000-7;Services de courrier et de messagerie interne des administrations
64200000-8;Services de télécommunications
64210000-1;Services de téléphonie et de transmission de données
64211000-8;Services de cabines téléphoniques publiques
64211100-9;Services de téléphonie locale
64211200-0;Services de téléphonie interurbaine
64212000-5;Services de téléphonie mobile
64212100-6;Services de messages courts (SMS)
64212200-7;Services de messagerie améliorés (EMS)
64212300-8;Services de messagerie multimédia (MMS)
64212400-9;Services WAP (Wireless Application Protocol)
64212500-0;Services GPRS (Services généraux de radiocommunication par paquets)
64212600-1;Services EDGE (Enhanced Data rates for GSM Evolution)
64212700-2;Services UMTS (système de télécommunications mobiles universelles)
64212800-3;Services de fourniture de publiphone
64212900-4;Services de fourniture de cartes de téléphone prépayées
64213000-2;Services des réseaux téléphoniques commerciaux partagés
64214000-9;Services des réseaux téléphoniques commerciaux spécialisés
64214100-0;Services de location de circuits par satellite
64214200-1;Services de commutateurs téléphoniques
64214400-3;Location de lignes terrestres de communication
64215000-6;Services de téléphonie IP
64216000-3;Services de messagerie et d'information électroniques
64216100-4;Services de messagerie électronique
64216110-7;Services d'échange de données électroniques
64216120-0;Services de courrier électronique
64216130-3;Services de télex
64216140-6;Services de télégraphie
64216200-5;Services d'information électronique
64216210-8;Services d'information à valeur ajoutée
64216300-6;Services de télétexte
64220000-4;Services de télécommunications, excepté téléphone et transmission de données
64221000-1;Services d'interconnexion
64222000-8;Services de télétravail
64223000-5;Services de radiomessagerie
64224000-2;Services de téléconférence
64225000-9;Services de télécommunications air-sol
64226000-6;Services de télématique
64227000-3;Services de télécommunications intégrés
64228000-0;Retransmission de programmes de télévision et de radio
64228100-1;Retransmission de programmes de télévision
64228200-2;Retransmission de programmes de radio
65000000-3;Services publics
65100000-4;Distribution d'eau et services connexes
65110000-7;Distribution d'eau
65111000-4;Distribution d'eau potable
65120000-0;Exploitation d'une station d'épuration d'eau
65121000-7;Services de déminéralisation de l'eau
65122000-0;Services de dessalement de l'eau
65123000-3;Services d'adoucissement de l'eau
65130000-3;Exploitation de l'alimentation en eau
65200000-5;Distribution de gaz et services connexes
65210000-8;Distribution de gaz
65300000-6;Distribution d'électricité et services connexes
65310000-9;Distribution d'électricité
65320000-2;Exploitation d'installations électriques
65400000-7;Autres sources d'approvisionnement en énergie et leur distribution
65410000-0;Exploitation d'une centrale électrique
65500000-8;Services de lecture de compteurs
66000000-0;Services financiers et d'assurance
66100000-1;Services bancaires et d'investissement
66110000-4;Services bancaires
66111000-1;Services de banques centrales
66112000-8;Services de dépôts
66113000-5;Services de concession de crédit
66113100-6;Services de concession de micro-crédits
66114000-2;Services de leasing financier
66115000-9;Services de virements internationaux
66120000-7;Services bancaires d'investissement et services connexes
66121000-4;Services de fusions-acquisitions
66122000-1;Services de financement des entreprises et de capital-risque
66130000-0;Services de courtage et services liés de titres et marchandises
66131000-7;Services de courtage de titres
66131100-8;Services d'investissement des fonds de pension
66132000-4;Services de courtage de marchandises
66133000-1;Services de traitement d'opérations et services de compensation
66140000-3;Services de gestion de portefeuilles
66141000-0;Services de gestion des fonds de pension
66150000-6;Services d'administration des marchés financiers
66151000-3;Services de gestion des marchés financiers
66151100-4;Services de vente au détail par le biais de marché électronique
66152000-0;Services de réglementation des marchés financiers
66160000-9;Services de fiducie et de garde
66161000-6;Services de fiducie
66162000-3;Services de garde
66170000-2;Services de conseils financiers, services de traitement des transactions financières et services de chambres de compensation
66171000-9;Services de conseils financiers
66172000-6;Services de traitement des transactions financières et services de chambre de compensation
66180000-5;Services de change
66190000-8;Services de courtage d'emprunts
66500000-5;Services d'assurance et services de retraite
66510000-8;Services d'assurance
66511000-5;Services d'assurance vie
66512000-2;Services d'assurances accidents et maladie
66512100-3;Services d'assurance accidents
66512200-4;Services d'assurance maladie
66512210-7;Services d'assurance maladie volontaire
66512220-0;Services d'assurance médicale
66513000-9;Services d'assurance défense et recours et service d'assurance tous risques chantier
66513100-0;Services d'assurance défense et recours
66513200-1;Services d'assurance tous risques chantier
66514000-6;Services d'assurance fret et services connexes
66514100-7;Services d'assurance transport
66514110-0;Services d'assurance de véhicules à moteur
66514120-3;Services d'assurance maritime, aérienne et de transports d'autre type
66514130-6;Services d'assurance de matériel ferroviaire
66514140-9;Services d'assurance d'aéronefs
66514150-2;Services d'assurance de bateaux
66514200-8;Services d'assurance fret
66515000-3;Services d'assurance dommages ou pertes
